   x_1             x_2             x_3             x_4            t
   1.4678642e-01   6.5511201e-01   5.5327582e-01   9.7198203e-01  -2.3088950e-01
   3.1493565e-01   3.6752765e-01   1.8980508e-01   2.0568387e-02   7.6564456e-01
   8.0893988e-01   8.0892768e-01   2.8281637e-01   2.3361915e-01  -1.0266662e+00
   4.6462387e-01   5.0621907e-01   8.5703228e-03   8.1825920e-01   1.2954252e-02
   4.0026577e-02   6.6906121e-01   4.9342814e-02   1.9639599e-01  -1.1048120e-03
   3.3420543e-02   7.1319868e-01   9.3863207e-01   4.9500772e-02  -1.1153653e-01
   9.7757327e-01   9.7450597e-01   5.0480084e-01   5.4832531e-01  -9.1280816e-03
   5.1159257e-01   6.0549411e-01   3.5162375e-01   3.2440660e-01  -1.5589766e-01
   8.7492190e-01   4.9515245e-01   5.1152184e-01   5.5007625e-01   5.0620744e-02
   7.2711203e-01   3.8557929e-01   3.7776633e-01   7.7081481e-01  -6.7925021e-01
   9.1409983e-01   5.7673600e-01   6.5068224e-01   3.7911875e-01   4.3741637e-01
   4.5356384e-02   4.8903591e-01   9.2181308e-01   2.5745116e-01  -1.5109667e-02
   9.9627161e-01   9.0234322e-01   7.8921886e-01   9.0418761e-01   6.9378746e-02
   1.1481796e-01   3.2485928e-01   3.8108171e-01   6.0850968e-01   4.5842693e-01
   9.7017581e-01   5.4909626e-01   4.3880262e-01   8.5853656e-01   6.5509320e-02
   1.8322588e-01   5.3591231e-02   6.8703053e-01   1.2691156e-01  -8.5642095e-01
   5.3242872e-01   4.5118466e-01   9.1856632e-01   8.2834672e-01   9.9038406e-02
   8.6736192e-01   4.0778886e-01   3.8358047e-01   2.2786360e-01  -5.9271758e-01
   3.7984014e-02   3.4407003e-02   7.9549380e-01   6.3264831e-01  -2.1927921e-01
   7.8129492e-01   8.3778876e-01   2.2820653e-01   5.4177496e-02  -1.0634263e+00
   7.6267158e-01   7.0988273e-01   2.8918271e-01   5.8494486e-01  -9.0860860e-01
   3.5603357e-01   6.3002753e-01   4.7276030e-01   7.2329972e-01   7.5693628e-02
   3.5830401e-01   5.5352608e-01   4.5556622e-01   2.5847299e-01   2.1346495e-01
   8.5671745e-01   1.2479860e-01   2.6748922e-02   6.1108363e-01  -7.6483251e-02
   1.7869290e-01   5.8242486e-01   9.6715931e-02   5.0826538e-01   5.0414901e-01
   2.6070917e-01   4.0309297e-01   4.2507303e-01   9.8091675e-01   4.7676258e-01
   4.2109698e-01   1.3653027e-01   4.2183949e-01   3.7460456e-02   3.2195628e-01
   4.6720768e-01   3.3822069e-01   5.2606702e-01   3.4745595e-01  -5.1773266e-02
   8.4245376e-01   4.9959101e-01   5.7432559e-01   9.2563222e-01   4.1014004e-01
   1.3715470e-01   7.9278497e-01   3.2912172e-01   8.4392026e-01   6.1681707e-01
   8.8814260e-01   7.0349128e-01   5.6825500e-01   9.0515820e-01   2.7581652e-01
   9.8943071e-01   7.9936980e-01   7.8529054e-01   2.0998494e-01   4.8819820e-02
   8.9242648e-01   7.4483587e-01   8.8905911e-01   6.4038061e-01   4.2613119e-01
   4.6755822e-01   5.3542464e-02   6.7432913e-01   2.3941674e-01  -1.1786795e-01
   7.5862780e-01   6.1760141e-01   5.6278202e-01   7.2206430e-01   4.6557855e-01
   3.7293747e-01   6.0034526e-01   5.6414211e-02   7.2342532e-01   2.1914988e-01
   6.7334820e-02   8.0305832e-01   1.4444148e-01   9.9553039e-01   2.5594603e-01
   9.0450154e-01   1.1958320e-01   9.5413574e-01   7.2586848e-01   1.3979924e-01
   3.3279267e-02   8.3843645e-01   7.5200483e-01   6.3881250e-01  -1.7395461e-01
   1.4253631e-01   7.7964824e-02   5.0068885e-01   3.9832704e-01   8.9942329e-02
   5.4501624e-01   1.5497294e-01   1.4141880e-01   7.3619865e-01  -1.6079637e-01
   4.3447149e-01   1.7643314e-01   4.8608952e-01   8.7054157e-01  -2.6148531e-02
   9.9095138e-01   9.5875336e-01   4.2831871e-01   1.7496252e-01   1.6134861e-02
   1.9711680e-01   2.3808245e-02   9.0918322e-01   8.5788936e-01  -5.1267584e-01
   5.5853966e-01   1.9376381e-01   4.6596759e-01   7.4855638e-01  -8.0705523e-02
   8.2723905e-01   2.3628765e-01   9.9481141e-01   3.5401170e-01   3.5087393e-02
   1.4068774e-01   5.4617262e-01   5.3722781e-01   3.3933743e-01  -2.3945864e-01
   2.3392320e-01   4.4571218e-02   7.2787052e-01   7.4238866e-02  -9.8377764e-01
   5.6801082e-01   3.6394445e-01   5.8048443e-01   1.3578501e-01   2.2848125e-01
   6.1113998e-01   6.0709767e-01   5.4369001e-01   8.4918311e-01   1.6408812e-01
   7.1512738e-01   5.8327165e-02   4.2413469e-01   3.1326818e-02  -4.4941018e-01
   4.6570502e-01   4.8030183e-01   1.1579671e-01   1.6779826e-01   1.8790498e-01
   6.2041176e-01   4.3136900e-01   7.8112443e-01   2.3751902e-01   7.5134635e-01
   3.3792685e-01   5.7274000e-01   4.2100953e-03   5.1575602e-01   2.1751431e-02
   6.7259129e-01   8.0012713e-02   8.3270656e-01   3.8466731e-01   8.0585505e-01
   7.9456275e-02   9.8895430e-01   7.4251973e-01   7.8874476e-01  -5.6556659e-01
   2.3107217e-01   4.2932362e-01   1.2341733e-01   9.8634050e-01   7.6871508e-01
   8.2745475e-01   4.6133937e-01   5.2903002e-02   9.4093390e-01  -2.3991434e-01
   5.4504325e-01   7.7186369e-01   4.9316666e-01   7.7153575e-01   2.9176902e-02
   2.2101786e-03   3.3789158e-01   7.5063303e-02   7.1844902e-01  -3.2565859e-03
   8.9729892e-01   9.8578405e-01   5.3263282e-01   2.4097205e-01   1.2968684e-01
   1.6363745e-01   4.2779711e-01   7.3845548e-01   2.1545726e-01  -8.3019155e-01
   4.3106744e-01   3.8378714e-01   5.2256911e-01   1.1977590e-01  -8.4863061e-02
   8.3683195e-01   7.7548872e-01   1.7127795e-02   2.8253491e-01  -1.0930073e-01
   4.4189184e-01   6.6336353e-01   6.7195219e-01   9.0670734e-01  -2.1175684e-01
   6.5254892e-01   1.5125382e-01   6.0953084e-01   7.3261177e-01   5.2735554e-01
   1.6537101e-01   5.9534338e-01   6.0311764e-01   5.9758089e-01  -4.2796879e-01
   9.1162877e-01   5.3638967e-01   5.5702495e-01   7.7454596e-01   1.9558726e-01
   6.4835570e-01   4.3181820e-01   1.3342995e-01   3.2838969e-01  -4.9602117e-01
   2.4720482e-01   8.1357083e-01   6.4829196e-01   2.7148490e-01  -8.7638491e-01
   8.6638706e-01   7.0115221e-01   8.4524436e-01   2.1899963e-01   5.9274707e-01
   2.4347614e-01   2.1938911e-01   3.2761369e-01   3.8002110e-01   8.9707005e-01
   4.9255195e-01   2.6718695e-01   1.8716629e-01   5.5925287e-01  -5.9330845e-03
   8.5921937e-01   3.2918122e-01   7.5639640e-01   9.9680829e-01   7.4822081e-01
   9.1508311e-01   7.8382422e-01   8.2857414e-01   5.5867810e-01   4.8027003e-01
   8.6593983e-02   6.2296595e-01   8.1755686e-01   5.2209509e-01  -4.6503106e-01
   9.2839096e-02   3.0676363e-01   4.1464558e-01   9.6836606e-01   2.1041545e-01
   1.1435230e-01   1.5300948e-01   9.7241020e-01   8.0397058e-01  -1.5369177e-01
   1.0131210e-01   3.5276972e-01   7.3167642e-01   3.7985254e-01  -5.8901573e-01
   6.7286945e-02   8.2571758e-01   9.4977416e-01   5.7058881e-01  -1.1011807e-01
   9.5874790e-02   3.7291814e-01   9.9915671e-01   1.4110242e-01  -9.8185832e-03
   4.4958565e-01   8.5153696e-01   5.7937871e-01   5.7600482e-01  -1.4872265e-01
   2.6600209e-01   2.4015940e-01   8.8950957e-01   8.8449556e-02  -6.8874893e-01
   6.8791066e-02   7.8350627e-01   6.9488520e-01   4.9542660e-01  -3.7147253e-01
   2.3704918e-01   6.3130374e-01   3.6186931e-01   9.1628999e-02   7.8796645e-01
   9.2600974e-01   3.3723534e-01   4.4362104e-01   6.7529049e-01  -1.9832208e-01
   4.5812788e-01   8.4467529e-01   5.2446930e-01   4.7749460e-01  -1.6032892e-02
   2.1167372e-01   1.1317314e-01   5.7869372e-01   3.0907000e-01  -4.3602260e-01
   2.7975058e-01   7.2798342e-01   6.8648728e-01   9.1812037e-01  -8.3625978e-01
   2.5409439e-01   2.1372218e-01   3.7936423e-01   2.6944422e-01   7.1170952e-01
   2.1965507e-01   4.6976159e-02   8.7003416e-01   1.4284397e-02  -7.2155112e-01
   4.9936904e-01   6.3296928e-01   8.7648897e-01   6.6733014e-01   5.1373431e-02
   3.0896849e-01   2.5259275e-01   4.9927564e-01   2.0471641e-01  -1.8563385e-02
   9.9180357e-01   6.5645299e-01   8.3670627e-01   1.0042508e-01   7.6762802e-02
   3.6128217e-01   4.5166101e-01   7.7049888e-01   2.8460739e-01  -7.5895420e-01
   1.2063811e-01   9.1631785e-01   9.5618252e-01   9.2897354e-01  -1.8582355e-01
   3.7091882e-02   3.6081247e-01   1.0233990e-01   9.8037002e-02   1.8441504e-01
   5.6975825e-02   6.5244069e-01   2.9001143e-02   1.1385611e-01   7.4217502e-02
   5.6365339e-01   6.1242933e-01   1.0826725e-01   7.5805617e-01  -2.2250316e-01
   9.3433992e-01   5.7429885e-01   7.9047654e-01   3.4334253e-01   4.3676624e-01
   5.7281601e-01   5.1110419e-02   2.3674473e-01   5.0579519e-01  -4.0198219e-01
   2.3096946e-01   8.6087326e-02   2.4110813e-01   6.5170006e-01   9.7349946e-01
   9.0214093e-01   6.3532701e-01   9.9665156e-02   6.8894943e-01  -3.1565134e-01
   3.2387034e-01   2.9380290e-01   8.7237392e-01   9.8637975e-01  -6.6128062e-01
   6.3447151e-01   7.8972822e-01   4.6880281e-02   1.6333824e-01  -2.7239626e-01
   6.3559404e-01   8.6232417e-01   3.3452494e-01   8.4117345e-01  -7.4686468e-01
   6.3748382e-01   8.2856299e-01   2.3717891e-01   1.4820209e-01  -7.6447799e-01
   7.8349442e-01   5.0571580e-01   1.0625477e-01   2.7537681e-01  -5.8499444e-01
   2.0078793e-02   6.1704767e-01   3.7908943e-01   1.7358469e-02   4.3289273e-02
   7.6751769e-01   7.9256753e-01   3.0081703e-01   4.4180015e-02  -9.0075238e-01
   6.2244358e-01   5.3552483e-01   7.0091297e-01   9.6204979e-01   6.3149348e-01
   4.6619307e-01   3.7292574e-03   6.9396600e-01   9.2385028e-01  -2.6332328e-01
   2.4095422e-01   6.9508627e-01   8.2811456e-01   4.5949531e-01  -8.7774552e-01
   4.2228843e-01   7.4368330e-02   6.2564003e-01   6.8619275e-01  -3.7424341e-01
   2.8453565e-01   2.2428044e-01   5.4625093e-01   5.0925694e-02  -2.1751598e-01
   9.1631704e-01   6.6600975e-01   6.1323715e-01   7.2245573e-01   3.3134493e-01
   6.9297173e-01   3.5426779e-01   7.8259731e-01   2.4425105e-01   1.0345873e+00
   1.3461714e-01   4.9308857e-01   3.4819494e-01   2.8556635e-01   6.2296774e-01
   4.4293475e-02   3.4662211e-01   9.4469824e-01   1.0097696e-01  -7.8160983e-02
   2.1727986e-01   9.4176337e-01   8.1791485e-01   8.7958798e-01  -8.8186480e-01
   5.7717856e-01   3.6724395e-01   4.0668686e-01   4.4119072e-01  -2.0581265e-01
   4.9102661e-01   6.2017730e-01   3.8670174e-01   9.7524885e-01   7.9034340e-03
   5.5156846e-01   7.6992734e-01   8.5162619e-01   1.2243279e-01   1.8271978e-01
   4.0368311e-01   4.5746873e-01   7.5273671e-01   4.0731867e-01  -6.1631466e-01
   4.2008583e-01   6.7662471e-01   5.2861011e-02   2.2142241e-01   1.6369281e-01
   8.6097216e-02   8.5228140e-01   9.4972268e-01   4.5728509e-01  -4.2376414e-02
   9.4901613e-02   3.4597504e-04   1.2610967e-01   1.1721825e-01   3.7667732e-01
   3.7156148e-01   8.8611529e-01   3.7558142e-01   3.9922159e-01   5.2173811e-01
   8.4523906e-01   7.3626413e-01   5.7167060e-01   2.3089344e-01   3.3662027e-01
   9.7834554e-01   6.7162914e-02   5.9909261e-01   6.4161588e-01   8.1248311e-02
   6.6374447e-01   2.2207847e-01   3.7327574e-01   6.9928115e-01  -6.3369002e-01
   3.4508719e-01   1.7758553e-01   3.5517859e-01   5.6523348e-01   6.6793618e-01
   8.7409253e-01   8.9513822e-01   5.6502890e-01   8.4999414e-01   3.5926699e-01
   9.1173664e-01   7.9901551e-01   9.2021122e-01   7.8941784e-01   2.5379010e-01
   2.1265601e-01   4.1250447e-01   4.6198454e-01   7.6287792e-01   2.4841962e-01
   9.1467674e-01   6.1481703e-01   4.6540407e-02   7.6478317e-01  -1.8170041e-01
   9.9512376e-01   6.8041964e-01   9.4979029e-02   6.4641984e-01  -9.6049465e-03
   6.2538378e-01   1.7658611e-01   9.1348781e-01   8.5167356e-01   3.9554395e-01
   8.5700214e-01   2.8100839e-01   2.0201892e-01   6.1260285e-01  -7.4771460e-01
   5.0520545e-01   2.4377011e-01   5.6260191e-02   2.6845037e-02  -2.1947892e-02
   4.7691123e-01   9.6028577e-01   7.7891310e-01   9.3879784e-01  -1.8359552e-01
   3.5572706e-01   6.6724032e-01   5.2199629e-02   2.0827450e-02   2.6340277e-01
   8.9299085e-01   4.0179004e-01   5.3659622e-01   3.6411420e-01   9.9929568e-02
   9.3454642e-01   7.7398017e-01   3.1537539e-01   9.6437075e-01  -3.5200187e-01
   9.4988379e-01   9.0299102e-01   5.7271005e-01   9.5289217e-01   2.2814671e-01
   2.7441531e-01   2.6791202e-01   3.8385143e-01   9.6076384e-01   7.2659577e-01
   8.3151033e-02   6.7352507e-01   7.4084073e-01   6.7867001e-01  -5.1706616e-01
   6.4687751e-01   3.3341965e-01   4.3416718e-01   9.4562557e-02  -3.0717271e-01
   8.2097962e-01   9.8535401e-01   7.1200816e-01   4.8815800e-01   9.2260454e-01
   3.4499424e-02   6.6329276e-01   2.0886418e-02   6.5759436e-01   1.8220287e-02
   7.3412033e-01   4.6775816e-01   6.4502282e-01   1.6783909e-01   8.8539691e-01
   3.1914786e-01   6.8287997e-01   1.6262646e-01   9.8438279e-01   8.1830566e-01
   1.7218233e-01   3.9958216e-01   2.1400406e-01   3.4454985e-01   8.5121382e-01
   2.7630511e-01   5.7714217e-01   9.4739540e-01   3.4503522e-01  -2.9627136e-01
   9.3270757e-01   5.8432118e-01   3.7383594e-01   4.2752000e-01  -2.9618780e-01
   9.1939887e-01   6.2981375e-01   8.8026403e-01   3.5439250e-01   2.8094106e-01
   5.3871813e-01   7.4116965e-01   8.4807251e-01   4.6356290e-01   1.5673484e-01
   4.2008231e-01   9.3408712e-01   7.6153794e-01   5.0802039e-01  -4.9773806e-01
   7.6627433e-01   7.8133512e-01   2.2336032e-01   8.5619318e-01  -9.1873024e-01
   7.8396068e-01   9.4055606e-01   9.8235470e-01   1.6078899e-01   1.6722205e-01
   8.9277635e-01   9.4363610e-01   4.5229191e-01   5.8122677e-01  -2.3352842e-01
   6.3166546e-01   5.8861726e-01   9.4408359e-03   4.0553421e-01  -1.0480029e-01
   1.5531106e-01   2.4487038e-01   2.8284270e-01   4.8322750e-01   7.8971383e-01
   3.5002976e-01   4.6530133e-02   6.7591734e-01   4.9000661e-01  -6.5180556e-01
   8.6843322e-01   5.2102162e-01   8.8594484e-01   8.6494759e-01   4.8944563e-01
   6.5030248e-01   3.7137996e-01   7.6410527e-01   8.6744815e-01   8.9034798e-01
   9.9810761e-01   6.2060957e-01   9.5368783e-01   4.7769167e-01  -9.9735043e-03
   4.3044372e-01   1.8912851e-01   3.2493691e-01   4.1283168e-01   4.0515800e-01
   1.9169408e-01   4.2431029e-01   6.5272128e-01   8.1415600e-01  -8.8366681e-01
   2.6286541e-01   1.1925432e-01   2.0205095e-02   5.7747536e-01   1.3891912e-01
   7.1406320e-03   9.7771086e-02   4.3147841e-01   6.6590775e-01   1.8683341e-02
   3.2155110e-01   2.3506661e-01   8.7446570e-01   9.3959203e-01  -6.2785842e-01
   7.4291485e-01   5.2920910e-01   4.8219647e-01   8.8681319e-01  -1.6579673e-01
   9.2845757e-02   1.2301269e-01   3.3705688e-02   2.2491489e-01   1.0751247e-01
   1.5789757e-01   6.1619626e-01   9.9839232e-02   9.4953014e-01   5.6144160e-01
   9.1570613e-02   8.9414632e-01   1.5156059e-01   1.5163016e-02   4.8809511e-01
   9.1322229e-02   2.6825923e-01   9.2080063e-01   3.6221385e-01  -2.8986518e-01
   6.1337882e-01   8.5634123e-02   5.5425889e-01   4.2619466e-01   1.3109634e-01
   3.4123804e-01   8.0332683e-01   7.9175182e-01   2.5379624e-01  -8.6940203e-01
   3.7944369e-01   6.2936847e-01   6.3631316e-01   3.9304731e-01  -4.7274106e-01
   7.9331647e-01   7.3001780e-01   3.5203870e-01   4.7490243e-01  -7.4028036e-01
   9.8463340e-01   4.7010705e-01   8.4061958e-01   9.7051634e-01   7.2012154e-02
   2.2236335e-01   3.7849877e-01   7.8252899e-01   2.6532210e-01  -9.4644793e-01
   7.4821576e-01   5.4126239e-01   1.6330278e-01   9.4571300e-02  -8.6259142e-01
   6.6529832e-01   9.2135383e-01   4.4918172e-01   8.7110596e-01  -3.8526509e-01
   5.0594423e-01   1.1778305e-02   3.2582838e-01   7.6898869e-01  -6.5372780e-02
   4.1030273e-01   2.6251627e-01   5.0251966e-01   9.5629756e-01   5.7600083e-02
   3.5784802e-01   8.6650469e-01   4.5103653e-01   9.2576627e-01   2.2384537e-01
   9.4715284e-01   8.1029495e-01   6.6855823e-01   8.3416668e-01   2.8600197e-01
   3.4627466e-01   2.3191009e-01   1.2261574e-01   1.4760869e-01   6.3903931e-01
   9.1579620e-01   3.7839701e-01   5.0795954e-01   6.4255915e-01   1.2323910e-01
   3.5523920e-01   1.4339395e-01   4.2996169e-01   4.1789662e-02   3.6655185e-01
   3.1284447e-01   8.8328059e-01   7.4740685e-02   2.7589656e-01   4.3878470e-01
   2.4787743e-01   2.3843374e-01   9.7020791e-01   2.0013352e-01  -1.8938673e-01
   4.5853957e-01   7.5506941e-01   9.4375477e-01   2.8867642e-01  -1.4922489e-01
   1.4345085e-01   3.0763916e-01   3.1633928e-01   5.2014650e-01   6.5706122e-01
   4.4701461e-01   1.7258718e-02   3.0880836e-01   7.9953552e-02   3.5446371e-01
   5.7202041e-02   9.4644320e-01   3.2394220e-01   3.2233372e-01   3.7633303e-01
   5.5456616e-01   1.0550284e-01   9.2541354e-01   3.9099903e-01   2.0888065e-01
   9.5209646e-01   6.7997554e-01   6.2826970e-01   7.2821103e-01   1.6264387e-01
   3.6439546e-01   3.3509549e-01   3.1170498e-02   7.6184962e-01   8.9349526e-02
   3.1626159e-01   2.4700186e-01   8.9631321e-01   1.5488617e-01  -5.3777150e-01
   9.4935191e-01   5.1358357e-01   8.9081143e-01   7.4678774e-02   2.6570126e-01
   9.7603411e-01   6.5369372e-01   3.2695013e-01   2.4104595e-01  -1.1147947e-01
   5.8795942e-01   3.6045693e-01   8.3443361e-02   3.8846956e-01  -2.2554585e-01
   1.4781274e-01   2.4091140e-02   4.6203248e-01   9.1239379e-01   1.0964361e-01
   9.3911358e-01   9.9639008e-01   8.9922912e-01   4.1306917e-01   1.4180841e-01
   2.4521043e-01   2.5209031e-01   9.0031193e-01   5.9155437e-01  -4.7352651e-01
   1.5639971e-01   9.3237370e-01   1.5263289e-01   1.2319967e-02   6.2901721e-01
   1.8291126e-01   3.7604644e-01   3.8030025e-02   7.6771472e-01   2.6949438e-01
   8.3923259e-01   2.0204285e-02   4.8479144e-01   5.3572790e-01  -8.3938089e-02
   3.1043353e-01   4.7013911e-01   2.8086002e-01   1.4842244e-01   8.7233890e-01
   4.1605526e-01   5.7028613e-01   5.7469590e-01   9.9827288e-01  -2.4769149e-01
   9.8424338e-01   6.4120033e-01   3.6380287e-01   3.5792792e-01  -8.5762363e-02
   4.7377425e-01   8.5106641e-01   6.0085466e-01   9.4582786e-02  -1.1216781e-01
   4.8269716e-01   9.7876659e-01   2.3657084e-01   8.7090076e-01   1.1537227e-01
   9.4589322e-01   5.2913463e-01   7.6317741e-01   9.7259448e-01   3.6156622e-01
   5.3367509e-01   9.9855046e-01   4.8578876e-01   3.8076217e-01   1.4618737e-02
   6.0629568e-01   2.6543790e-01   3.6470654e-01   3.6900000e-02  -4.9697383e-01
   6.1325101e-01   8.8416365e-01   4.4893521e-01   9.6203965e-01  -2.2212553e-01
   3.4967789e-01   3.2743568e-01   9.1338671e-01   9.0851107e-01  -3.9133263e-01
   8.5988848e-01   3.9183584e-01   8.5598343e-01   6.1153692e-02   6.3005466e-01
   7.5848205e-01   8.6100803e-01   6.1984854e-01   7.9558319e-01   5.8745506e-01
   9.2579360e-01   2.1049467e-01   6.4690989e-01   1.2408407e-01   3.0711357e-01
   4.0511432e-01   7.0555327e-01   3.0589976e-01   3.9272928e-01   4.8451672e-01
   6.8357767e-01   4.3056979e-01   6.9988751e-01   7.9203750e-01   8.7614812e-01
   9.0528091e-01   4.7327214e-01   2.4252345e-01   3.7725215e-01  -5.3395769e-01
   7.9511370e-01   5.6141802e-02   4.5349263e-01   3.3256686e-01  -3.0210747e-01
   1.8152535e-01   8.2592092e-01   3.7422690e-01   2.5747609e-01   6.4928846e-01
   4.4284325e-01   7.3981693e-01   9.6074482e-01   2.1293765e-02  -1.0640134e-01
   8.3078534e-01   5.0927045e-02   8.9697110e-01   7.0581464e-01   5.6634989e-01
   4.8691132e-01   3.8546314e-01   8.5737313e-01   2.8764963e-01  -2.8034411e-02
   3.5850671e-01   2.5506425e-01   1.8723484e-01   2.1984274e-01   5.8804265e-01
   4.9648247e-01   4.6583909e-01   6.9885557e-01   1.5661915e-01   4.5052257e-02
   6.2026316e-01   7.1199814e-01   2.4482670e-01   7.5776056e-01  -6.6552557e-01
   5.6358759e-01   7.6454128e-01   9.4657878e-01   1.3140719e-01   1.3129597e-01
   2.4680879e-01   9.4070450e-01   2.1306307e-02   8.6190627e-01   1.3934304e-01
   1.9303781e-01   4.5030247e-01   4.4222265e-02   2.0311078e-01   2.4585816e-01
   4.5858087e-02   4.3921194e-01   5.0905509e-01   6.4904327e-01  -7.6590887e-02
   8.3815166e-01   3.9692104e-02   9.9276140e-01   8.9677521e-01   1.0094039e-01
   7.9927830e-01   4.5210606e-01   3.7529460e-01   8.0755451e-01  -7.2694294e-01
   4.4981858e-01   9.5691366e-01   5.3969571e-02   5.0003195e-01   6.5393777e-02
   2.6412677e-01   3.7206124e-01   8.5256883e-01   9.3089337e-01  -8.4300303e-01
   1.0941360e-02   5.7814342e-01   5.3370015e-02   5.5273483e-01   1.2040127e-02
   2.3405836e-01   3.0290083e-01   7.6624988e-01   7.4222286e-01  -9.6583843e-01
   3.6925683e-01   4.5175591e-01   5.8142336e-01   7.9034831e-01  -3.3443167e-01
   3.3417607e-01   7.0832650e-01   2.0225671e-01   6.4668861e-01   8.7283888e-01
   6.4788684e-01   8.8211377e-01   5.4441019e-01   7.7388025e-01   1.5448863e-01
   3.9657055e-02   2.7759825e-01   2.1495085e-01   5.2079491e-01   3.1300253e-01
   9.1543885e-01   5.3799433e-01   5.7150321e-01   9.5369158e-01   2.8892882e-01
   3.5679814e-01   6.8204418e-01   5.6918648e-01   8.9098944e-01  -3.1150948e-01
   8.1418492e-01   8.9129807e-01   7.5895482e-01   3.2195235e-01   9.9518839e-01
   6.7142330e-01   1.0085514e-01   8.8676236e-01   8.8376321e-01   6.4229582e-01
   8.5304480e-01   9.6090731e-01   9.2243804e-01   9.6791054e-01   3.2169096e-01
   8.5995172e-01   4.8368589e-01   1.2846498e-01   6.3963550e-01  -5.4362921e-01
   4.6529815e-01   6.1780818e-01   2.1254372e-01   6.1685073e-01   2.3434833e-01
   3.2227098e-01   9.3274994e-01   2.8916266e-01   3.0576895e-01   9.2941706e-01
   2.4439224e-01   6.6790917e-01   2.8761718e-01   5.7654428e-01   1.0545939e+00
   6.3925933e-01   1.3668093e-01   3.5862298e-01   2.7036034e-02  -5.4483235e-01
   3.7322537e-01   4.9568562e-01   6.1887823e-01   7.0299159e-01  -4.4136177e-01
   1.3644063e-01   6.1989483e-01   1.3439695e-01   3.0881601e-01   6.3594619e-01
   7.0053221e-01   3.2124487e-02   1.1321370e-01   2.8286170e-01  -6.5328982e-01
   8.2760269e-01   7.7051571e-01   8.2217445e-01   2.9621079e-01   7.2354144e-01
   5.4813972e-01   4.6941881e-01   7.5020632e-01   6.4099500e-01   2.5365161e-01
   5.6868447e-01   4.7385894e-01   1.3398605e-01   6.2517112e-01  -3.9717887e-01
   2.8872321e-01   9.8001857e-01   1.2721826e-01   2.7552254e-01   7.1636335e-01
   4.8633646e-01   8.0098197e-01   3.5435112e-01   6.7657975e-01   1.1016330e-01
   9.9104079e-01   9.0897755e-01   5.0628235e-01   7.9497936e-01   2.3461531e-02
   6.2640036e-01   5.9059801e-01   4.4613284e-01   4.6854379e-01  -2.5572552e-01
   2.5763872e-01   4.3461432e-01   3.4500810e-01   5.6484036e-01   8.9831660e-01
   8.9104600e-02   1.6630405e-01   4.7776492e-01   6.1415996e-01  -2.6720294e-02
   8.0133975e-03   4.2087664e-01   2.6578729e-01   6.7530396e-01   1.5596754e-01
   9.2110944e-01   3.6424264e-01   9.6411923e-01   8.2303567e-01   4.4403024e-02
   9.1750812e-01   5.3672913e-01   7.6266405e-01   1.8789339e-01   5.2934568e-01
   8.5075855e-01   8.1844822e-01   4.4043544e-01   3.6394978e-01  -2.7376134e-01
   6.3368285e-01   5.4210832e-01   1.5417656e-01   9.8483669e-01  -6.2436909e-01
